"GDP","CPI","Import","Inflation","GNI","Employement Population","Unemployement","Infant Mortality","Life Expectancy","Engaged Workers","Private Final Consumption"
53369787318.6245,2.20825620937534,9060862651.56033,53.9091441150379,55101749155.2375,56.373,3.27,86.1,65.779,65.62332,40031663685.1521
53991289844.3291,2.00717374213842,10102557449.9629,54.9911943003265,55629781319.4959,56.121,3.618,81.1,66.135,65.38409,40235841363.9733
54724081490.5102,3.33256493271911,9060891520.11144,56.8238115576626,56908044576.0056,55.905,3.934,76.6,66.612,65.16232,40571565383.9457
60158929188.2556,5.66870773441478,9761830742.65976,60.0449873584211,62584110535.4059,55.661,4.32,72.3,66.824,64.92311,44930345423.1433
65108544250.0425,7.58753638504687,10229675556.3105,64.6009226216381,67925445897.7408,55.675,4.272,68.3,67.187,64.67897,47944436894.8531
69442943089.4309,7.0466181622204,13891430894.3089,69.1531029680564,72520666666.6667,55.673,4.25,64.5,67.299,64.34838,51223934959.3496
71819083683.7403,6.76526117054758,15626727218.5825,73.8314909913831,75870230199.5235,55.985,3.59,61,67.241,63.94881,52516489913.6391
79611888213.148,9.10698496905381,18268578048.0741,80.5553137783967,84719837822.1836,55.505,4.092,57.7,66.714,63.51315,58827739926.1512
91631278239.3237,8.90194489465157,22873050575.7178,87.7263034206632,98684113103.0462,55.053,4.548,54.7,67.051,63.04337,69302853400.379
102477779060.302,5.42347236174678,23726335160.9906,92.484115240665,110602669068.391,54.605,5,51.8,67.403,62.58135,76421616278.6938
115279077465.226,8.12667639169919,25106319010.5127,100,124617096900.553,55.345,3.38,49.2,68.638,62.11988,85438685148.0054
128637983882.833,11.3951651552399,35373869598.3631,111.39516515524,138823283192.363,54.942,3.75,46.7,68.809,61.5902,95552898572.2518
133355819704.936,6.21750422069284,37272063303.3306,118.321164250415,144641733113.083,54.553,4.099,44.4,69.554,61.00883,98332440551.0764
149990529207.544,7.53040640913168,40135258675.7014,127.231228786487,162054231102.177,54.175,4.43,42.1,69.565,60.38131,109264761713.809
172885432686.945,6.99163889220856,44128004306.7139,136.126776861358,184407410605,54.006,4.393,40,69.986,59.68579,125467344462.871
195078574089.067,6.19428022984986,48280625469.6755,144.558850888013,207742575092.042,53.829,4.371,38,70.491,58.87037,141309631426.933
265236389198.948,5.51352572692992,46185468303.6388,152.529140322278,277662941658.192,53.65,4.35,36,71.09,57.86647,177348832202.336
293754769935.148,5.70207015717245,50467021833.2222,161.226458913586,303897057026.897,55.781,4.37,34.1,71.788,56.0359,196556947275.207
321379163135.647,5.54362139486472,63761123906.7778,170.164243384102,334231051146.792,55.911,4.38,32.2,72.567,55.20293,217219057208.122
351238397263.802,5.59199639930632,64920430093.1352,179.679821747048,365625619027.61,56.019,4.382,30.4,72.806,54.35773,234899185925.131
373902196399.317,5.69107474746207,59183704837.8965,189.905534708779,389378724341.026,55.007,5.209,28.8,71.968,54.80427,250331970882.402
416264802185.166,5.54565430773474,71019877840.2621,200.437039174984,438174961724.313,55.277,5.097,27.3,72.381,53.67384,286287922263.697
460201000095.101,7.69695437176894,96171612323.0586,215.864586624407,478432610630.276,55.993,4.699,51.0590909090909,68.9949090909091,60.854745,317891232910.742
