,Year,GDP,Real GDP,Adjusted Savings,Current Account Balance,Exports of Goods and Services,GNI
0,1973,1425.376,6106.3705,10.925,0.49231302403751276,0.275,1431848000000.0
1,1974,1545.2425,6073.36275,9.2,0.12957370362061554,-0.05,1553300000000.0
2,1975,1684.905,6060.87525,6.5,1.0756566942945986,0.95,1684554000000.0
3,1976,1873.4125,6387.4365,7.45,0.2338946124617325,-0.05,1869603000000.0
4,1977,2081.825,6682.8045,8.125,-0.6835399877834412,-1.125,2082670000000.0
5,1978,2351.59875,7052.71125,9.375,-0.6612005848235598,-1.125,2349856000000.0
6,1979,2627.32625,7275.99925,9.2,-0.0124450377462298,-0.875,2614202000000.0
7,1980,2857.3085,7257.3165,7.05,0.0738831629639615,-0.45,2847055000000.0
8,1981,3207.04125,7441.485,8.0,0.15661038590553755,-0.375,3201886000000.0
9,1982,3343.7892500000003,7307.314,5.625,-0.16185995792433866,-0.6,3371448000000.0
10,1983,3634.0365,7642.2654999999995,4.275,-1.0480205137647924,-1.425,3614168000000.0
11,1984,4037.614,8195.29525,7.025,-2.333595982293595,-2.525,4032292000000.0
12,1985,4338.9805,8537.00375,5.6,-2.7171813707323373,-2.6500000000000004,4310074000000.0
13,1986,4579.6325,8832.61125,4.0,-3.212076548458365,-2.875,4516535000000.0
14,1987,4855.2162499999995,9137.74475,4.525,-3.3093297511031525,-3.0,4828878000000.0
15,1988,5236.438,9519.42675,5.525,-2.316141411673625,-2.1,5256093000000.0
16,1989,5641.5795,9869.00325,4.85,-1.7662431651957324,-1.525,5598381000000.0
17,1990,5963.1445,10055.128499999999,3.825,-1.3257190076456185,-1.3,5902290000000.0
18,1991,6158.12925,10044.2375,3.65,0.052527700580509235,-0.47500000000000003,6096750000000.0
19,1992,6520.32725,10398.04625,2.9,-0.7868338059078168,-0.525,6435469000000.0
20,1993,6858.5585,10684.17875,2.375,-1.232861612812412,-0.925,6733768000000.0
21,1994,7287.2365,11114.64625,3.35,-1.6654159770122325,-1.25,7170251000000.0
22,1995,7639.74925,11413.01225,4.025,-1.4890808949118075,-1.175,7574691000000.0
23,1996,8073.12175,11843.599,5.025,-1.5442293959086624,-1.2,8045907000000.0
24,1997,8577.5525,12370.299500000001,6.3,-1.639126820125985,-1.175,8589268000000.0
25,1998,9062.81675,12924.87575,6.825,-2.3688474124121077,-1.775,9135464000000.0
26,1999,9631.17175,13543.774,6.3,-2.9707836980357625,-2.7,9690388000000.0
27,2000,10250.952000000001,14096.033,5.925,-3.9190707751819023,-3.7,10383667000000.0
28,2001,10581.929,14230.726,4.375,-3.7258542122816527,-3.55,10746067000000.0
29,2002,10929.108250000001,14472.7115,3.075,-4.171179134367305,-4.025,11052223000000.0
30,2003,11456.4495,14877.3125,2.325,-4.562461136812735,-4.55,11534846000000.0
31,2004,12217.19575,15449.75725,2.75,-5.197331850208192,-5.175,12317643000000.0
32,2005,13039.197,15987.9575,2.9,-5.74065376819845,-5.675,13166516000000.0
33,2006,13815.583,16433.1475,3.675,-5.912146143792873,-5.7,14066382000000.0
34,2007,14474.227,16762.445499999998,1.775,-5.094163679837223,-5.1,14550103000000.0
35,2008,14769.86175,16781.48475,-1.025,-4.714552737147953,-5.0,14718111000000.0
36,2009,14478.06725,16349.1105,-2.5749999999999997,-2.6220413470843322,-2.875,14426269000000.0
37,2010,15048.971,16789.750500000002,-0.625,-2.87117163735273,-3.525,15172073000000.0
38,2011,15599.7315,17052.410499999998,0.35,-2.9202196907221527,-3.7,15849978000000.0
39,2012,16253.970000000001,17442.75925,2.375,-2.57443800233811,-3.375,16675595000000.0
40,2013,16880.683250000002,17812.167,2.55,-2.0134704716747676,-2.825,17188331000000.0
41,2014,17608.13825,18261.714249999997,3.475,-2.1009894985580324,-2.9,18043094000000.0
42,2015,18295.019,18799.622,3.575,-2.2323911632517923,-2.8499999999999996,18660910000000.0
43,2016,18804.91325,19141.67225,2.425,-2.1082111045633978,-2.675,19020479000000.0
44,2017,19612.1025,19612.1025,2.775,-1.87487753903621,-2.775,19885551000000.0
45,2018,20656.5155,20193.89525,3.05,-2.126815655469705,-2.85,20937355000000.0
46,2019,21521.395,20692.08675,3.2,-2.05452743463499,-2.7,21764537000000.0
47,2020,21322.9495,20234.074,1.375,-2.8029902724150677,-2.95,21472360000000.0
48,2021,23594.03075,21407.6925,1.375,-3.51645602214373,-3.625,23617113000000.0
49,2022,25744.10825,21822.0365,1.525,-3.7836465182668677,-3.775,25838900000000.0
50,2023,26813.601,22112.329,-0.2,-3.19945090553111,-3.1,10232503840000.0
